informant;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
television;Kurmanji, Turkish, Other language;French, Turkish;Kurmanji,Şexbizinî ,German, French, Turkish;Kurmanji, German;Kurmanji, Turkish, Other language;Turkish;Turkish;Turkish;Kurmanji, Turkish;No language given;Kurmanji, Other language;Turkish;Turkish;Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Kurmanji, French, Turkish;No language given;Kurmanji, German, French, Turkish, Other language;Kurmanji, French, Turkish;Turkish;Kurmanji,Şexbizinî, German, French, Turkish, Other language;Kurmanji, Turkish, Other language;Kurmanji, Turkish;Kurmanji, Turkish;Turkish;Kurmanji, French, Turkish, Other language;Kurmanji, Turkish;Turkish;No language given;Turkish, Other language;Turkish;Kurmanji, German, French, Turkish;No language given
music;Kurmanji, Şexbizinî, Turkish, Other language;Kurmanji, Şexbizinî, French, Turkish;Kurmanji, German, French, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish, Other language;Kurmanji, Şexbizinî, Turkish;Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, Şexbizinî, German, French, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, Other language;Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;Kurmanji,Şexbizinî;Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Şexbizinî, French, Turkish;Kurmanji, Şexbizinî, German, French, Turkish;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Kurmanji, Şexbizinî, French, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, German, French, Turkish, Other language;No language given;Kurmanji, Şexbizinî, Turkish, Other language;Kurmanji, Şexbizinî, Turkish;No language given;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Kurmanji, Turkish;No language given;No language given;Kurmanji, Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Kurmanji, Şexbizinî, German, French, Turkish
facebook;Kurmanji, Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;No language given;Turkish;Şexbizinî;No language given;Şexbizinî, Kurmanji, Turkish;Şexbizinî, Turkish;Turkish;No language given;No language given;Turkish;French;Turkish;Turkish;No language given;Turkish;Turkish;No language given;Turkish;Kurmanji, Turkish;Turkish;No language given;Şexbizinî, Turkish;No language given;Şexbizinî, Kurmanji, Turkish;Turkish
twitter;Kurmanji, Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;Turkish;No language given;Turkish;Turkish;No language given;No language given;Şexbizinî;No language given;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;No language given;Turkish;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;Turkish;No language given;No language given;Şexbizinî, Turkish
instagram;Kurmanji, Turkish;Turkish;No language given;Turkish;No language given;Turkish;Turkish;Turkish;Turkish;No language given;Turkish;Turkish;No language given;Şexbizinî, Turkish;No language given;Şexbizinî, Kurmanji, Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;No language given;Turkish;Turkish;No language given;Turkish;Turkish;Turkish;No language given;Turkish;No language given;Kurmanji, Turkish;Turkish
whatsapp;Kurmanji, Turkish;No language given;Turkish;Turkish;No language given;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;French; Şexbizinî, Turkish;Turkish;No language given;Turkish;Turkish;No language given;Turkish;No language given;Turkish;No language given;Turkish;No language given;Turkish;Turkish
telegram;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Şexbizinî;No language given;Turkish;Şexbizinî, Turkish;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;Turkish
tiktok;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Şexbizinî, Turkish;No language given;Turkish;Şexbizinî, Turkish;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;Turkish;Kurmanji, Turkish;Turkish;No language given;No language given;No language given;Kurmanji, Turkish;Turkish
discord;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Şexbizinî;No language given;No language given;Şexbizinî, Turkish;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;Turkish
youtube;No language given;Turkish;No language given;Turkish;Turkish;Turkish;No language given;Turkish;Turkish;No language given;No language given;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Kurmanji, Turkish;Turkish;French;Şexbizinî, Kurmanji, Turkish;Turkish;No language given;Kurmanji;No language given;No language given;Turkish;Turkish;Turkish;No language given;No language given;No language given;Şexbizinî, Turkish;Turkish
email;Other language;Turkish;French, Turkish;No language given;Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;Turkish;Turkish;Turkish;Turkish, Other language;No language given;No language given;Şexbizinî, Turkish;No language given;Turkish;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;French, Turkish;No language given;No language given;Kurmanji, Şexbizinî, German, French, Turkish, Other language;No language given;Kurmanji, German, French, Turkish, Other language;No language given;Turkish;Turkish;No language given;No language given;Turkish;No language given;No language given;Other language;Turkish;Turkish;No language given
sms;Kurmanji, Turkish, Other language;French, Turkish;French, Turkish;Turkish;Kurmanji, Şexbizinî, Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;Şexbizinî, Turkish;Kurmanji, Şexbizinî, German, French, Turkish;Şexbizinî, Turkish;Turkish;Kurmanji, Şexbizinî, German, French, Turkish;Kurmanji, Şexbizinî, German, French, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Kurmanji, Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;French, Turkish;Turkish;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Şexbizinî, Turkish;Kurmanji, German, French, Turkish, Other language;No language given;Turkish;Turkish;No language given;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;Turkish;No language given;Turkish, Other language;Kurmanji, Şexbizinî, Turkish;Turkish;Kurmanji, Şexbizinî, Turkish
books;Kurmanji, Turkish, Other language;French, Turkish;Turkish;Kurmanji, Turkish;Kurmanji, Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Kurmanji, Şexbizinî, German, French, Turkish;No language given;Şexbizinî, Turkish;Turkish;Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Kurmanji, Şexbizinî, German, French, Turkish, Other language;French, Turkish;Turkish;Kurmanji, Şexbizinî, German, French, Turkish, Other language;No language given;Turkish;Kurmanji, German, French, Turkish, Other language;No language given;Kurmanji, Turkish;Kurmanji, Turkish;No language given;Kurmanji, Şexbizinî, German, French, Turkish, Other language;Turkish;No language given;No language given;Turkish, Other language;No language given;No language given;Turkish
letters;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given
poems;Kurmanji;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given
diaries;Kurmanji;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Şexbizinî;No language given;No language given;Turkish;No language given;Şexbizinî, Turkish;Turkish;Turkish;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Şexbizinî
shopping list;Kurmanji, Turkish;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;Şexbizinî, Turkish;Turkish;Turkish;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given
stories;Kurmanji;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given
jokes;Kurmanji;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;Şexbizinî, Turkish;Kurmanji, Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Şexbizinî, Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given
songs;Kurmanji;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Turkish ;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;Şexbizinî, Turkish;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given
other media;Kurmanji, Turkish, Other language;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;No language given;No language given;No language given;No language given;No language given;No language given;Turkish;No language given;No language given;Turkish;No language given;Turkish;No language given;No language given;Şexbizinî;No language given;No language given
