informant;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
when dreaming;Kurmanji;Turkish;Şexbizinî, Turkish;No language given;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;No language given;No language given;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî;No language given;Turkish;Turkish;Turkish;Turkish;No language given;Şexbizinî;Turkish;Şexbizinî, German;Turkish;Kurmanji, Turkish;No language given;Şexbizinî,Kurmanji;Kurmanji;Turkish, Other language;Şexbizinî;Turkish;Turkish;Turkish;Turkish
when counting;Kurmanji;Turkish;No language given;Şexbizinî;Şexbizinî, Turkish, Other language;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;No language given;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, German;Turkish;Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Kurmanji;Turkish;Şexbizinî;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî
when praying;Kurmanji, Turkish;Turkish;Şexbizinî, Turkish;No language given;No language given;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;No language given;Turkish;Turkish;Şexbizinî, Turkish;Turkish;No language given;Şexbizinî, Turkish;Turkish;German;Turkish;Kurmanji, Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish
shouting at children;Kurmanji;Turkish;Turkish;No language given;No language given;Turkish;Turkish;Turkish;No language given;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;No language given;No language given;No language given;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;Turkish;Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Kurmanji;Turkish;Şexbizinî;Turkish;Turkish;No language given;Şexbizinî
explanations to children;Kurmanji, Other language;Turkish;Turkish;Şexbizinî;Turkish, Other language;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;No language given;No language given;Turkish;No language given;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;German;Turkish;Kurmanji, Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Turkish;Turkish;Şexbizinî;Turkish;Turkish;Turkish;Şexbizinî, Turkish
when cursing;Kurmanji;Turkish;Şexbizinî, Turkish;Şexbizinî;No language given;Şexbizinî;No language given;Turkish;No language given;Şexbizinî, Turkish;Turkish;No language given;No language given;Turkish;Turkish;Şexbizinî;No language given;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;No language given;Turkish;No language given;Şexbizinî,Kurmanji, Turkish, French, Other language;Kurmanji;Turkish;Şexbizinî;Turkish;Turkish;No language given;Şexbizinî, Turkish
when joking;Kurmanji, Other language;Turkish;Turkish;Şexbizinî;No language given;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Kurmanji;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî;Şexbizinî;No language given;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;Kurmanji;Kurmanji, Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Kurmanji, Turkish;Turkish;Şexbizinî;Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish
speaking about private topics;Kurmanji, Other language;Other language;Şexbizinî;Şexbizinî;Şexbizinî;Şexbizinî;Turkish;Şexbizinî;Şexbizinî;Şexbizinî, Turkish;Kurmanji;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî;No language given;Şexbizinî, Turkish;Turkish;Şexbizinî;Şexbizinî, Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî;No language given;Kurmanji;Kurmanji;No language given;Şexbizinî,Kurmanji, Turkish;Kurmanji;Turkish, Other language;Şexbizinî;Turkish;Turkish;Şexbizinî;Şexbizinî
discussing;Kurmanji, Other language;Other language;Şexbizinî, Turkish;Şexbizinî;No language given;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Şexbizinî;No language given;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;Kurmanji;Kurmanji, Turkish;No language given;Şexbizinî,Kurmanji, Turkish;Kurmanji, Turkish;Turkish, Other language;Şexbizinî;Turkish;Turkish;Turkish;Şexbizinî
singing;Kurmanji;Other language;Şexbizinî, Turkish;No language given;No language given;Turkish;Turkish;Şexbizinî;Turkish;Şexbizinî;Kurmanji;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî;No language given;Şexbizinî, Turkish;Şexbizinî;Şexbizinî;Turkish;Şexbizinî, Turkish, French;Şexbizinî, Turkish;Şexbizinî, Turkish;No language given;Turkish;Kurmanji;No language given;Şexbizinî,Kurmanji, Turkish, French, Other language;Kurmanji, Turkish;No language given;Şexbizinî, Kurmanji, Turkish;Şexbizinî, Kurmanji;Şexbizinî, Turkish;Şexbizinî, Kurmanji,  Turkish;Şexbizinî
